sample_idx,combination,value,order,feature_names,feature_names_str
1,"(1, 3)",-0.08946678837369544,2,"('sepal width (cm)', 'petal width (cm)')",sepal width (cm) x petal width (cm)
1,"(2, 3)",-0.36125095374354416,2,"('petal length (cm)', 'petal width (cm)')",petal length (cm) x petal width (cm)
2,(),0.2908711115261618,0,(),baseline
2,"(0,)",0.24923212541502618,1,"('sepal length (cm)',)",sepal length (cm)
2,"(1,)",0.06355185185477792,1,"('sepal width (cm)',)",sepal width (cm)
2,"(2,)",-0.008297519888158508,1,"('petal length (cm)',)",petal length (cm)
2,"(3,)",-0.12988507359006396,1,"('petal width (cm)',)",petal width (cm)
2,"(0, 1)",-0.04566404697205017,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
2,"(0, 2)",-0.14866989978592715,2,"('sepal length (cm)', 'petal length (cm)')",sepal length (cm) x petal length (cm)
2,"(0, 3)",-0.07507916989436071,2,"('sepal length (cm)', 'petal width (cm)')",sepal length (cm) x petal width (cm)
2,"(1, 2)",-0.029102108448070884,2,"('sepal width (cm)', 'petal length (cm)')",sepal width (cm) x petal length (cm)
2,"(1, 3)",0.001352076571150625,2,"('sepal width (cm)', 'petal width (cm)')",sepal width (cm) x petal width (cm)
2,"(2, 3)",-0.1654270330270329,2,"('petal length (cm)', 'petal width (cm)')",petal length (cm) x petal width (cm)
3,(),0.2908711115261618,0,(),baseline
3,"(0,)",0.08951534618778277,1,"('sepal length (cm)',)",sepal length (cm)
3,"(1,)",0.06350998329356487,1,"('sepal width (cm)',)",sepal width (cm)
3,"(2,)",0.20619793942712578,1,"('petal length (cm)',)",petal length (cm)
3,"(3,)",0.1941590542770408,1,"('petal width (cm)',)",petal width (cm)
3,"(0, 1)",0.003954460324415639,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
3,"(0, 2)",-0.031239373321972592,2,"('sepal length (cm)', 'petal length (cm)')",sepal length (cm) x petal length (cm)
3,"(0, 3)",-0.016503685388625452,2,"('sepal length (cm)', 'petal width (cm)')",sepal length (cm) x petal width (cm)
3,"(1, 2)",-0.020191987201259694,2,"('sepal width (cm)', 'petal length (cm)')",sepal width (cm) x petal length (cm)
3,"(1, 3)",-0.012411619290216627,2,"('sepal width (cm)', 'petal width (cm)')",sepal width (cm) x petal width (cm)
3,"(2, 3)",-0.00846207046842337,2,"('petal length (cm)', 'petal width (cm)')",petal length (cm) x petal width (cm)
4,(),0.2908711115261618,0,(),baseline
4,"(0,)",0.1941969718436943,1,"('sepal length (cm)',)",sepal length (cm)
4,"(1,)",0.07349773988362623,1,"('sepal width (cm)',)",sepal width (cm)
4,"(2,)",0.17629915713617036,1,"('petal length (cm)',)",petal length (cm)
4,"(3,)",0.23065773214946647,1,"('petal width (cm)',)",petal width (cm)
4,"(0, 1)",-0.02085203891817293,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
4,"(0, 2)",-0.08879407620091927,2,"('sepal length (cm)', 'petal length (cm)')",sepal length (cm) x petal length (cm)
4,"(0, 3)",-0.030057388211206272,2,"('sepal length (cm)', 'petal width (cm)')",sepal length (cm) x petal width (cm)
4,"(1, 2)",-0.03425364452225426,2,"('sepal width (cm)', 'petal length (cm)')",sepal width (cm) x petal length (cm)
4,"(1, 3)",-0.026243953151302554,2,"('sepal width (cm)', 'petal width (cm)')",sepal width (cm) x petal width (cm)
4,"(2, 3)",-0.013185855058239531,2,"('petal length (cm)', 'petal width (cm)')",petal length (cm) x petal width (cm)
5,(),0.2908711115261618,0,(),baseline
5,"(0,)",-0.01968481877740343,1,"('sepal length (cm)',)",sepal length (cm)
5,"(1,)",-0.026847309287202095,1,"('sepal width (cm)',)",sepal width (cm)
5,"(2,)",0.2605290601756782,1,"('petal length (cm)',)",petal length (cm)
5,"(3,)",0.3194332405341867,1,"('petal width (cm)',)",petal width (cm)
5,"(0, 1)",-0.03039388020264207,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
5,"(0, 2)",-0.11620839126641382,2,"('sepal length (cm)', 'petal length (cm)')",sepal length (cm) x petal length (cm)
5,"(0, 3)",-0.0413550572678042,2,"('sepal length (cm)', 'petal width (cm)')",sepal length (cm) x petal width (cm)
5,"(1, 2)",-0.0979039017801914,2,"('sepal width (cm)', 'petal length (cm)')",sepal width (cm) x petal length (cm)
5,"(1, 3)",-0.04659131252804943,2,"('sepal width (cm)', 'petal width (cm)')",sepal width (cm) x petal width (cm)
5,"(2, 3)",-0.42404901380031645,2,"('petal length (cm)', 'petal width (cm)')",petal length (cm) x petal width (cm)
6,(),0.2908711115261618,0,(),baseline
6,"(0,)",0.03448864444458376,1,"('sepal length (cm)',)",sepal length (cm)
6,"(1,)",0.04617845677175167,1,"('sepal width (cm)',)",sepal width (cm)
6,"(2,)",0.254604699575334,1,"('petal length (cm)',)",petal length (cm)
6,"(3,)",0.2618529076228044,1,"('petal width (cm)',)",petal width (cm)
6,"(0, 1)",0.015220020320722016,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
6,"(0, 2)",-0.017187030916178736,2,"('sepal length (cm)', 'petal length (cm)')",sepal length (cm) x petal length (cm)
6,"(0, 3)",-0.01224187909631922,2,"('sepal length (cm)', 'petal width (cm)')",sepal length (cm) x petal width (cm)
6,"(1, 2)",0.023732305759545765,2,"('sepal width (cm)', 'petal length (cm)')",sepal width (cm) x petal length (cm)
6,"(1, 3)",0.017797435918581014,2,"('sepal width (cm)', 'petal width (cm)')",sepal width (cm) x petal width (cm)
6,"(2, 3)",-0.03688309947816512,2,"('petal length (cm)', 'petal width (cm)')",petal length (cm) x petal width (cm)
7,(),0.2908711115261618,0,(),baseline
7,"(0,)",0.20103786898219161,1,"('sepal length (cm)',)",sepal length (cm)
7,"(1,)",0.039469764765216374,1,"('sepal width (cm)',)",sepal width (cm)
7,"(2,)",0.14782673484577297,1,"('petal length (cm)',)",petal length (cm)
7,"(3,)",-0.08981017823207219,1,"('petal width (cm)',)",petal width (cm)
7,"(0, 1)",0.003379367459455196,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
7,"(0, 2)",-0.09053001923123898,2,"('sepal length (cm)', 'petal length (cm)')",sepal length (cm) x petal length (cm)
7,"(0, 3)",-0.08687148049094914,2,"('sepal length (cm)', 'petal width (cm)')",sepal length (cm) x petal width (cm)
7,"(1, 2)",-0.008531480877268747,2,"('sepal width (cm)', 'petal length (cm)')",sepal width (cm) x petal length (cm)
7,"(1, 3)",-0.018703274570233134,2,"('sepal width (cm)', 'petal width (cm)')",sepal width (cm) x petal width (cm)
7,"(2, 3)",-0.3239795700129113,2,"('petal length (cm)', 'petal width (cm)')",petal length (cm) x petal width (cm)
8,(),0.2908711115261618,0,(),baseline
8,"(0,)",0.10257902648106174,1,"('sepal length (cm)',)",sepal length (cm)
8,"(1,)",0.16622263061715326,1,"('sepal width (cm)',)",sepal width (cm)
8,"(2,)",0.1998085173504688,1,"('petal length (cm)',)",petal length (cm)
8,"(3,)",0.19097238592661508,1,"('petal width (cm)',)",petal width (cm)
8,"(0, 1)",-0.04439476185877825,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
8,"(0, 2)",-0.021809321676992864,2,"('sepal length (cm)', 'petal length (cm)')",sepal length (cm) x petal length (cm)
8,"(0, 3)",-0.011441832894783163,2,"('sepal length (cm)', 'petal width (cm)')",sepal length (cm) x petal width (cm)
8,"(1, 2)",-0.14161448126227352,2,"('sepal width (cm)', 'petal length (cm)')",sepal width (cm) x petal length (cm)
8,"(1, 3)",-0.1334253594570396,2,"('sepal width (cm)', 'petal width (cm)')",sepal width (cm) x petal width (cm)
8,"(2, 3)",-0.02049358269237007,2,"('petal length (cm)', 'petal width (cm)')",petal length (cm) x petal width (cm)
9,(),0.2908711115261618,0,(),baseline
9,"(0,)",0.06158805176143306,1,"('sepal length (cm)',)",sepal length (cm)
9,"(1,)",0.07592335853063042,1,"('sepal width (cm)',)",sepal width (cm)
9,"(2,)",0.23658787431054754,1,"('petal length (cm)',)",petal length (cm)
9,"(3,)",0.29439118630370853,1,"('petal width (cm)',)",petal width (cm)
9,"(0, 1)",0.011768168217720115,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
9,"(0, 2)",-0.018041622305010968,2,"('sepal length (cm)', 'petal length (cm)')",sepal length (cm) x petal length (cm)
9,"(0, 3)",-0.013025137829860187,2,"('sepal length (cm)', 'petal width (cm)')",sepal length (cm) x petal width (cm)
9,"(1, 2)",0.007528780996154193,2,"('sepal width (cm)', 'petal length (cm)')",sepal width (cm) x petal length (cm)
9,"(1, 3)",0.012284209483807498,2,"('sepal width (cm)', 'petal width (cm)')",sepal width (cm) x petal width (cm)
9,"(2, 3)",-0.03412780168887991,2,"('petal length (cm)', 'petal width (cm)')",petal length (cm) x petal width (cm)
10,(),0.2908711115261618,0,(),baseline
10,"(0,)",0.15534925068034594,1,"('sepal length (cm)',)",sepal length (cm)
10,"(1,)",0.03289803944658267,1,"('sepal width (cm)',)",sepal width (cm)
10,"(2,)",0.16274056109995527,1,"('petal length (cm)',)",petal length (cm)
10,"(3,)",-0.016681077671617278,1,"('petal width (cm)',)",petal width (cm)
10,"(0, 1)",0.007719807439247462,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
10,"(0, 2)",-0.07580360375913177,2,"('sepal length (cm)', 'petal length (cm)')",sepal length (cm) x petal length (cm)
10,"(0, 3)",-0.047149997263587616,2,"('sepal length (cm)', 'petal width (cm)')",sepal length (cm) x petal width (cm)
10,"(1, 2)",-0.006920187890165393,2,"('sepal width (cm)', 'petal length (cm)')",sepal width (cm) x petal length (cm)
10,"(1, 3)",0.005128825547354984,2,"('sepal width (cm)', 'petal width (cm)')",sepal width (cm) x petal width (cm)
10,"(2, 3)",-0.29789304543939493,2,"('petal length (cm)', 'petal width (cm)')",petal length (cm) x petal width (cm)
11,(),0.2908711115261618,0,(),baseline
11,"(0,)",-0.07769346177971523,1,"('sepal length (cm)',)",sepal length (cm)
11,"(1,)",0.019289823286509862,1,"('sepal width (cm)',)",sepal width (cm)
11,"(2,)",0.25326657362299726,1,"('petal length (cm)',)",petal length (cm)
11,"(3,)",0.30318226552446514,1,"('petal width (cm)',)",petal width (cm)
11,"(0, 1)",-0.022908565335960203,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
11,"(0, 2)",-0.1672634488858035,2,"('sepal length (cm)', 'petal length (cm)')",sepal length (cm) x petal length (cm)
11,"(0, 3)",-0.09186850137860621,2,"('sepal length (cm)', 'petal width (cm)')",sepal length (cm) x petal width (cm)
11,"(1, 2)",-0.020494119969710723,2,"('sepal width (cm)', 'petal length (cm)')",sepal width (cm) x petal length (cm)
11,"(1, 3)",-0.008925588739012362,2,"('sepal width (cm)', 'petal width (cm)')",sepal width (cm) x petal width (cm)
11,"(2, 3)",-0.4271163970297414,2,"('petal length (cm)', 'petal width (cm)')",petal length (cm) x petal width (cm)
12,(),0.2908711115261618,0,(),baseline
12,"(0,)",-0.025043812735564795,1,"('sepal length (cm)',)",sepal length (cm)
12,"(1,)",-0.053457334729326754,1,"('sepal width (cm)',)",sepal width (cm)
12,"(2,)",0.22844555476680972,1,"('petal length (cm)',)",petal length (cm)
12,"(3,)",0.2905549176095258,1,"('petal width (cm)',)",petal width (cm)
12,"(0, 1)",-0.0235931636416252,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
12,"(0, 2)",-0.08461989021371881,2,"('sepal length (cm)', 'petal length (cm)')",sepal length (cm) x petal length (cm)
12,"(0, 3)",-0.027088548677586536,2,"('sepal length (cm)', 'petal width (cm)')",sepal length (cm) x petal width (cm)
12,"(1, 2)",-0.09174167295499946,2,"('sepal width (cm)', 'petal length (cm)')",sepal width (cm) x petal length (cm)
12,"(1, 3)",-0.04566774467799438,2,"('sepal width (cm)', 'petal width (cm)')",sepal width (cm) x petal width (cm)
12,"(2, 3)",-0.41880320765847123,2,"('petal length (cm)', 'petal width (cm)')",petal length (cm) x petal width (cm)
13,(),0.2908711115261618,0,(),baseline
13,"(0,)",-0.0731855180950638,1,"('sepal length (cm)',)",sepal length (cm)
13,"(1,)",0.002188303870060476,1,"('sepal width (cm)',)",sepal width (cm)
13,"(2,)",0.2509052714670214,1,"('petal length (cm)',)",petal length (cm)
13,"(3,)",0.2984373158338962,1,"('petal width (cm)',)",petal width (cm)
13,"(0, 1)",-0.02092747194334263,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
13,"(0, 2)",-0.14878205730848032,2,"('sepal length (cm)', 'petal length (cm)')",sepal length (cm) x petal length (cm)
13,"(0, 3)",-0.0847236636448358,2,"('sepal length (cm)', 'petal width (cm)')",sepal length (cm) x petal width (cm)
13,"(1, 2)",-0.02860256343692089,2,"('sepal width (cm)', 'petal length (cm)')",sepal width (cm) x petal length (cm)
13,"(1, 3)",-0.016623743558027114,2,"('sepal width (cm)', 'petal width (cm)')",sepal width (cm) x petal width (cm)
13,"(2, 3)",-0.42148033327941503,2,"('petal length (cm)', 'petal width (cm)')",petal length (cm) x petal width (cm)
14,(),0.2908711115261618,0,(),baseline
14,"(0,)",-0.09811592164227097,1,"('sepal length (cm)',)",sepal length (cm)
14,"(1,)",-0.12654934743010332,1,"('sepal width (cm)',)",sepal width (cm)
14,"(2,)",0.18296451653024656,1,"('petal length (cm)',)",petal length (cm)
14,"(3,)",0.25921601851475295,1,"('petal width (cm)',)",petal width (cm)
14,"(0, 1)",0.0014728785538930325,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
14,"(0, 2)",-0.05084809386422501,2,"('sepal length (cm)', 'petal length (cm)')",sepal length (cm) x petal length (cm)
14,"(0, 3)",-0.029080884308436507,2,"('sepal length (cm)', 'petal width (cm)')",sepal length (cm) x petal width (cm)
14,"(1, 2)",-0.0558946169585812,2,"('sepal width (cm)', 'petal length (cm)')",sepal width (cm) x petal length (cm)
14,"(1, 3)",-0.05367187805021865,2,"('sepal width (cm)', 'petal width (cm)')",sepal width (cm) x petal width (cm)
14,"(2, 3)",-0.31029229411737586,2,"('petal length (cm)', 'petal width (cm)')",petal length (cm) x petal width (cm)
15,(),0.2908711115261618,0,(),baseline
15,"(0,)",0.12563046262604166,1,"('sepal length (cm)',)",sepal length (cm)
15,"(1,)",0.013947347118991184,1,"('sepal width (cm)',)",sepal width (cm)
15,"(2,)",0.18277764037557173,1,"('petal length (cm)',)",petal length (cm)
15,"(3,)",0.14431198483822397,1,"('petal width (cm)',)",petal width (cm)
15,"(0, 1)",0.008938853014298575,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
15,"(0, 2)",-0.035753725547963466,2,"('sepal length (cm)', 'petal length (cm)')",sepal length (cm) x petal length (cm)
15,"(0, 3)",-0.024606815223966693,2,"('sepal length (cm)', 'petal width (cm)')",sepal length (cm) x petal width (cm)
15,"(1, 2)",0.020669728239396258,2,"('sepal width (cm)', 'petal length (cm)')",sepal width (cm) x petal length (cm)
15,"(1, 3)",0.03888646471291303,2,"('sepal width (cm)', 'petal width (cm)')",sepal width (cm) x petal width (cm)
15,"(2, 3)",-0.04122881401773456,2,"('petal length (cm)', 'petal width (cm)')",petal length (cm) x petal width (cm)
16,(),0.2908711115261618,0,(),baseline
16,"(0,)",0.14388009522733142,1,"('sepal length (cm)',)",sepal length (cm)
16,"(1,)",0.049344867451364356,1,"('sepal width (cm)',)",sepal width (cm)
16,"(2,)",0.09842967884873016,1,"('petal length (cm)',)",petal length (cm)
16,"(3,)",-0.07726733480610137,1,"('petal width (cm)',)",petal width (cm)
16,"(0, 1)",0.003378768401848944,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
16,"(0, 2)",-0.0852420010018848,2,"('sepal length (cm)', 'petal length (cm)')",sepal length (cm) x petal length (cm)
16,"(0, 3)",-0.03896683001559322,2,"('sepal length (cm)', 'petal width (cm)')",sepal length (cm) x petal width (cm)
16,"(1, 2)",-0.02170819089724479,2,"('sepal width (cm)', 'petal length (cm)')",sepal width (cm) x petal length (cm)
16,"(1, 3)",-0.01615526337302356,2,"('sepal width (cm)', 'petal width (cm)')",sepal width (cm) x petal width (cm)
16,"(2, 3)",-0.3147907762054286,2,"('petal length (cm)', 'petal width (cm)')",petal length (cm) x petal width (cm)
17,(),0.2908711115261618,0,(),baseline
17,"(0,)",0.034779073014580913,1,"('sepal length (cm)',)",sepal length (cm)
17,"(1,)",0.09570428336446626,1,"('sepal width (cm)',)",sepal width (cm)
17,"(2,)",0.22767547289686602,1,"('petal length (cm)',)",petal length (cm)
17,"(3,)",0.3113782245913157,1,"('petal width (cm)',)",petal width (cm)
17,"(0, 1)",0.020436942148038276,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
17,"(0, 2)",-0.019315947499279406,2,"('sepal length (cm)', 'petal length (cm)')",sepal length (cm) x petal length (cm)
17,"(0, 3)",-0.016778399804162333,2,"('sepal length (cm)', 'petal width (cm)')",sepal length (cm) x petal width (cm)
17,"(1, 2)",0.008854512838502474,2,"('sepal width (cm)', 'petal length (cm)')",sepal width (cm) x petal length (cm)
17,"(1, 3)",0.02812094078503664,2,"('sepal width (cm)', 'petal width (cm)')",sepal width (cm) x petal width (cm)
17,"(2, 3)",-0.0467827888013107,2,"('petal length (cm)', 'petal width (cm)')",petal length (cm) x petal width (cm)
18,(),0.2908711115261618,0,(),baseline
18,"(0,)",0.05013740692789381,1,"('sepal length (cm)',)",sepal length (cm)
18,"(1,)",0.0685341113889338,1,"('sepal width (cm)',)",sepal width (cm)
18,"(2,)",0.1981602206317782,1,"('petal length (cm)',)",petal length (cm)
18,"(3,)",0.26911861366129414,1,"('petal width (cm)',)",petal width (cm)
18,"(0, 1)",0.008594382368159237,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
18,"(0, 2)",-0.017427625008068298,2,"('sepal length (cm)', 'petal length (cm)')",sepal length (cm) x petal length (cm)
18,"(0, 3)",-0.012814140246339497,2,"('sepal length (cm)', 'petal width (cm)')",sepal length (cm) x petal width (cm)
18,"(1, 2)",-0.008804446384183278,2,"('sepal width (cm)', 'petal length (cm)')",sepal width (cm) x petal length (cm)
18,"(1, 3)",-0.004794526632047204,2,"('sepal width (cm)', 'petal width (cm)')",sepal width (cm) x petal width (cm)
18,"(2, 3)",0.006443232601412893,2,"('petal length (cm)', 'petal width (cm)')",petal length (cm) x petal width (cm)
19,(),0.2908711115261618,0,(),baseline
19,"(0,)",0.12860792974532256,1,"('sepal length (cm)',)",sepal length (cm)
19,"(1,)",0.06754855275987588,1,"('sepal width (cm)',)",sepal width (cm)
19,"(2,)",0.10681413420896517,1,"('petal length (cm)',)",petal length (cm)
19,"(3,)",-0.08136753999581783,1,"('petal width (cm)',)",petal width (cm)
19,"(0, 1)",-0.0013767044300817593,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
19,"(0, 2)",-0.06846228813820081,2,"('sepal length (cm)', 'petal length (cm)')",sepal length (cm) x petal length (cm)
19,"(0, 3)",-0.03756097645560982,2,"('sepal length (cm)', 'petal width (cm)')",sepal length (cm) x petal width (cm)
19,"(1, 2)",-0.03774424893202368,2,"('sepal width (cm)', 'petal length (cm)')",sepal width (cm) x petal length (cm)
19,"(1, 3)",-0.023353517158211882,2,"('sepal width (cm)', 'petal width (cm)')",sepal width (cm) x petal width (cm)
19,"(2, 3)",-0.31156349389732385,2,"('petal length (cm)', 'petal width (cm)')",petal length (cm) x petal width (cm)
20,(),0.2908711115261618,0,(),baseline
20,"(0,)",-0.10878173112964007,1,"('sepal length (cm)',)",sepal length (cm)
20,"(1,)",-0.018724586975412585,1,"('sepal width (cm)',)",sepal width (cm)
20,"(2,)",0.23242926284909388,1,"('petal length (cm)',)",petal length (cm)
20,"(3,)",0.2856541082352477,1,"('petal width (cm)',)",petal width (cm)
20,"(0, 1)",-0.02133160159773797,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
20,"(0, 2)",-0.13821644333901056,2,"('sepal length (cm)', 'petal length (cm)')",sepal length (cm) x petal length (cm)
20,"(0, 3)",-0.08088827470795573,2,"('sepal length (cm)', 'petal width (cm)')",sepal length (cm) x petal width (cm)
20,"(1, 2)",-0.02643174782307311,2,"('sepal width (cm)', 'petal length (cm)')",sepal width (cm) x petal length (cm)
20,"(1, 3)",-0.01871565919304266,2,"('sepal width (cm)', 'petal width (cm)')",sepal width (cm) x petal width (cm)
20,"(2, 3)",-0.3655161826535863,2,"('petal length (cm)', 'petal width (cm)')",petal length (cm) x petal width (cm)
21,(),0.2908711115261618,0,(),baseline
21,"(0,)",0.10173199950919062,1,"('sepal length (cm)',)",sepal length (cm)
21,"(1,)",0.05637188301211103,1,"('sepal width (cm)',)",sepal width (cm)
21,"(2,)",0.18245031734181,1,"('petal length (cm)',)",petal length (cm)
21,"(3,)",0.06080982059036501,1,"('petal width (cm)',)",petal width (cm)
21,"(0, 1)",0.005282695766378412,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
21,"(0, 2)",-0.04694944267624973,2,"('sepal length (cm)', 'petal length (cm)')",sepal length (cm) x petal length (cm)
21,"(0, 3)",-0.024120266317326257,2,"('sepal length (cm)', 'petal width (cm)')",sepal length (cm) x petal width (cm)
21,"(1, 2)",-0.030845920891182037,2,"('sepal width (cm)', 'petal length (cm)')",sepal width (cm) x petal length (cm)
21,"(1, 3)",-0.015280857446633385,2,"('sepal width (cm)', 'petal width (cm)')",sepal width (cm) x petal width (cm)
21,"(2, 3)",-0.2004656941688284,2,"('petal length (cm)', 'petal width (cm)')",petal length (cm) x petal width (cm)
22,(),0.2908711115261618,0,(),baseline
22,"(0,)",-0.07743367208061884,1,"('sepal length (cm)',)",sepal length (cm)
22,"(1,)",-0.043856365320171856,1,"('sepal width (cm)',)",sepal width (cm)
22,"(2,)",0.23456399177958187,1,"('petal length (cm)',)",petal length (cm)
22,"(3,)",0.2974771808908404,1,"('petal width (cm)',)",petal width (cm)
22,"(0, 1)",-0.02441622428730222,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
22,"(0, 2)",-0.12299771903576737,2,"('sepal length (cm)', 'petal length (cm)')",sepal length (cm) x petal length (cm)
22,"(0, 3)",-0.05467243218513506,2,"('sepal length (cm)', 'petal width (cm)')",sepal length (cm) x petal width (cm)
22,"(1, 2)",-0.0604073898118562,2,"('sepal width (cm)', 'petal length (cm)')",sepal width (cm) x petal length (cm)
22,"(1, 3)",-0.03519534987924706,2,"('sepal width (cm)', 'petal width (cm)')",sepal width (cm) x petal width (cm)
22,"(2, 3)",-0.3677838682707457,2,"('petal length (cm)', 'petal width (cm)')",petal length (cm) x petal width (cm)
23,(),0.2908711115261618,0,(),baseline
23,"(0,)",0.12996304390674093,1,"('sepal length (cm)',)",sepal length (cm)
23,"(1,)",0.06965673042688175,1,"('sepal width (cm)',)",sepal width (cm)
23,"(2,)",0.11046456544572344,1,"('petal length (cm)',)",petal length (cm)
23,"(3,)",-0.058726948266885126,1,"('petal width (cm)',)",petal width (cm)
23,"(0, 1)",-0.0009439972296276148,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
23,"(0, 2)",-0.07265636206648568,2,"('sepal length (cm)', 'petal length (cm)')",sepal length (cm) x petal length (cm)
23,"(0, 3)",-0.033417425492608205,2,"('sepal length (cm)', 'petal width (cm)')",sepal length (cm) x petal width (cm)
23,"(1, 2)",-0.04419751217782554,2,"('sepal width (cm)', 'petal length (cm)')",sepal width (cm) x petal length (cm)
23,"(1, 3)",-0.02423655076354978,2,"('sepal width (cm)', 'petal width (cm)')",sepal width (cm) x petal width (cm)
23,"(2, 3)",-0.318351086586105,2,"('petal length (cm)', 'petal width (cm)')",petal length (cm) x petal width (cm)
24,(),0.2908711115261618,0,(),baseline
24,"(0,)",0.3118347795385611,1,"('sepal length (cm)',)",sepal length (cm)
24,"(1,)",-0.012379161964734087,1,"('sepal width (cm)',)",sepal width (cm)
24,"(2,)",0.07414165058537234,1,"('petal length (cm)',)",petal length (cm)
24,"(3,)",-0.015067989693505868,1,"('petal width (cm)',)",petal width (cm)
24,"(0, 1)",0.04501626035834811,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
24,"(0, 2)",-0.2174220124619475,2,"('sepal length (cm)', 'petal length (cm)')",sepal length (cm) x petal length (cm)
24,"(0, 3)",-0.10315114003622473,2,"('sepal length (cm)', 'petal width (cm)')",sepal length (cm) x petal width (cm)
24,"(1, 2)",-0.002323024074291817,2,"('sepal width (cm)', 'petal length (cm)')",sepal width (cm) x petal length (cm)
24,"(1, 3)",0.039124669912991364,2,"('sepal width (cm)', 'petal width (cm)')",sepal width (cm) x petal width (cm)
24,"(2, 3)",-0.32056634384650007,2,"('petal length (cm)', 'petal width (cm)')",petal length (cm) x petal width (cm)
25,(),0.2908711115261618,0,(),baseline
25,"(0,)",0.17237790646936807,1,"('sepal length (cm)',)",sepal length (cm)
25,"(1,)",0.04838058873369653,1,"('sepal width (cm)',)",sepal width (cm)
25,"(2,)",0.13950128434642148,1,"('petal length (cm)',)",petal length (cm)
25,"(3,)",-0.09100541616659724,1,"('petal width (cm)',)",petal width (cm)
25,"(0, 1)",0.0008250445909820089,2,"('sepal length (cm)', 'sepal width (cm)')",sepal length (cm) x sepal width (cm)
